"Ref","Qty","Value","Purchase Link"
"C2, C1","2","10µF (1206)","https://www.digikey.com/products/en?keywords=1276-1804-1-ND"
"D1","1","Schottky Diode","https://www.digikey.com/products/en?keywords=MBR120VLSFT3GOSCT-ND"
"J1","1","MicroUSB Connector","https://www.digikey.com/products/en?keywords=609-4618-1-ND"
"J2","1","12-port RJ45","https://www.digikey.com/products/en?keywords=5569263"
"J3","1","Barrel Jack","https://www.digikey.com/product-detail/en/cui-inc/PJ-037A/CP-037A-ND/1644545"
"S1","1","Large Tactile Switch","https://www.digikey.com/products/en?keywords=EG4906CT-ND"
"S2","1","Small Tactile Switch","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf"
"U2","1","Voltage Regulator","https://www.digikey.com/products/en?keywords=945-2201-ND"
"U5, U4, U3","3","TBD62083A","https://www.digikey.com/products/en?keywords=TBD62083AFNGELCT-ND"
"X2U1, X1U1","2","40-pin Connector","https://www.digikey.com/products/en?keywords=H124604CT-ND"
